2026-03-09 17:09:17 | INFO     | __main__ | Žádná duplicitní jména lokací
2026-03-09 17:09:17 | INFO     | __main__ | Duplicitní jména postav (34):
2026-03-09 17:09:17 | INFO     | __main__ |   - 'Abradolf Lincler': 2 výskytů
2026-03-09 17:09:17 | INFO     | __main__ |   - 'Anchosnake': 2 výskytů
2026-03-09 17:09:17 | INFO     | __main__ |   - 'Beth Smith': 4 výskytů
2026-03-09 17:09:17 | INFO     | __main__ |   - 'Bill': 2 výskytů
2026-03-09 17:09:17 | INFO     | __main__ |   - 'Birdperson': 2 výskytů
2026-03-09 17:09:17 | INFO     | __main__ | ------------------------------------------------------------
2026-03-09 17:09:17 | INFO     | __main__ | ============================================================
2026-03-09 17:09:17 | INFO     | __main__ | EL PIPELINE ÚSPĚŠNĚ DOKONČENA
2026-03-09 17:09:17 | INFO     | __main__ | ============================================================
2026-03-09 17:09:17 | INFO     | __main__ | FINÁLNÍ POČTY ZÁZNAMŮ V DATABÁZI:
2026-03-09 17:09:17 | INFO     | __main__ |   - Lokace: 126
2026-03-09 17:09:17 | INFO     | __main__ |   - Postavy: 660
2026-03-09 17:09:17 | INFO     | __main__ |   - Celkem: 786
2026-03-09 17:09:17 | INFO     | __main__ | ============================================================
2026-03-09 17:09:17 | INFO     | loader | Databázové připojení uzavřeno
2026-03-09 17:09:17 | INFO     | __main__ | Script ukončen úspěšně
